자전거보관소명,소재지도로명주소,소재지지번주소,보관대수,공기주입기비치여부,수리대설치여부,관리기관전화번호,관리기관명,데이터기준일자
홍성 오서산공영주차장,충청남도 홍성군 광천읍 오서길351번길 8-10,충청남도 홍성군 광천읍 담산리 714,10,N,N,041-630-1114,홍성군청,2024-07-31
홍성 광천제일고등학교,충청남도 홍성군 광천읍 홍남로 695,충청남도 홍성군 광천읍 광천리 124-11,10,N,N,041-630-1114,홍성군청,2024-07-31
홍성 광천고등학교,충청남도 홍성군 광천읍 광천로 373번길 14,충청남도 홍성군 광천읍 신진리 372-2,30,N,N,041-630-1114,홍성군청,2024-07-31
홍성 광천중학교,충청남도 홍성군 광천읍 광천로 396-34,충청남도 홍성군 광천읍 광천리 162-4,30,N,N,041-630-1114,홍성군청,2024-07-31
홍성 광천지구대,충청남도 홍성군 광천읍 광천로 341-2,충청남도 홍성군 광천읍 신진리 456-1,9,N,N,041-630-1114,홍성군청,2024-07-31
홍성 광천읍행정복지센터,충청남도 홍성군 광천읍 광천로 342,충청남도 홍성군 광천읍 신진리 411-2,10,N,N,041-630-1114,홍성군청,2024-07-31
홍주중고등학교,충청남도 홍성군 홍성읍 문화로 78,충청남도 홍성군 홍성읍 남장리 107,105,N,N,041-630-1114,홍성군청,2024-07-31
홍성중학교,충청남도 홍성군 홍성읍 충절로 994,충청남도 홍성군 홍성읍 고암리 560,110,N,N,041-630-1114,홍성군청,2024-07-31
홍성초등학교,충청남도 홍성군 홍성읍 조양로 43,충청남도 홍성군 홍성읍 오관리 638,50,N,N,041-630-1114,홍성군청,2024-07-31
홍성 한국폴리텍대학,충청남도 홍성군 홍성읍 충서로 1200,충청남도 홍성군 홍성읍 남장리 221-1,10,N,N,041-630-1114,홍성군청,2024-07-31
홍성 청운대학교,충청남도 홍성군 홍성읍 대학1길 66,충청남도 홍성군 홍성읍 남장리 392-1,35,N,N,041-630-1114,홍성군청,2024-07-31
홍성 혜전대학교,충청남도 홍성군 홍성읍 대학길 25,충청남도 홍성군 홍성읍 남장리 392-1,40,N,N,041-630-1114,홍성군청,2024-07-31
홍성군장애인스포츠센터,충청남도 홍성군 홍성읍 홍덕서로 78,충청남도 홍성군 홍성읍 소향리 산 38-8,10,N,N,041-630-1114,홍성군청,2024-07-31
홍주종합경기장,충청남도 홍성군 홍성읍 홍덕서로 78,충청남도 홍성군 홍성읍 소향리 397-118,57,N,N,041-630-1114,홍성군청,2024-07-31
홍성 대전지방 검찰청,충청남도 홍성군 홍성읍 법원로 40,충청남도 홍성군 홍성읍 월산리 848-1,7,N,N,041-630-1114,홍성군청,2024-07-31
홍성군보건소,충청남도 홍성군 홍성읍 문화로 106,충청남도 홍성군 홍성읍 오관리 475,10,N,N,041-630-1114,홍성군청,2024-07-31
홍성읍행정복지센터,충청남도 홍성군 홍성읍 문화로 108,충청남도 홍성군 홍성읍 오관리 475,10,N,N,041-630-1114,홍성군청,2024-07-31
홍성우체국,충청남도 홍성군 홍성읍 내포로 111,충청남도 홍성군 홍성읍 옥암리 1070,7,N,N,041-630-1114,홍성군청,2024-07-31
홍성군청,충청남도 홍성군 홍성읍 아문길 27,충청남도 홍성군 홍성읍 오관리 98,28,Y,N,041-630-1114,홍성군청,2024-07-31
홍성도서관,충청남도 홍성군 홍성읍 충절로 1050 홍성도서관,충청남도 홍성군 홍성읍 오관리 375,26,N,N,041-630-1114,홍성군청,2024-07-31
홍성 버스터미널,충청남도 홍성군 홍성읍 조양로247번길 9,충청남도 홍성군 홍성읍 고암리 1042,34,N,N,041-630-1114,홍성군청,2024-07-31
홍성의료원,충청남도 홍성군 홍성읍 조양로 224,충청남도 홍성군 홍성읍 고암리 572-3,17,N,N,041-630-1114,홍성군청,2024-07-31
홍성역,충청남도 홍성군 홍성읍 조양로 272 홍성역,충청남도 홍성군 홍성읍 고암리 442-3,99,N,N,041-630-1114,홍성군청,2024-07-31
한내초등학교,"충청남도 보령시 보령남로 39, 한내초등학교 (명천동)",충청남도 보령시 명천동 431 한내초등학교,10,N,N,041-930-3981,충청남도 보령시청,2024-01-30
다이소 앞,충청남도 보령시 큰오랏1길 8(동대동),충청남도 보령시 동대동 1691,10,N,N,041-930-3981,충청남도 보령시청,2024-01-30
대성공인중개사사무소 앞,충청남도 보령시 주공로 8(명천동),충청남도 보령시 명천동 1037,10,N,N,041-930-3981,충청남도 보령시청,2024-01-30
대천역,"충청남도 보령시 대해로 116, 대천역 (내항동)",충청남도 보령시 내항동 336-11 대천역,30,N,N,1544-7788,대천역,2024-01-30
이마트,"충청남도 보령시 해안로 25, 보령이마트 (궁촌동)",충청남도 보령시 궁촌동 340-1 보령이마트,37,N,N,041-640-1234,이마트,2024-01-30
홈플러스,충청남도 보령시 명암1길 17(동대동),충청남도 보령시 동대동 400-43,20,N,N,041-939-8000,홈플러스,2024-01-30
부여읍사무소 정문,충청남도 부여군 부여읍 사비로 36,,7,N,N,041-833-5802,충청남도 부여군 부여읍사무소,2024-07-22
부여군청 신관 좌측 출입구,충청남도 부여군 부여읍 사비로 33,,7,N,N,041-830-2114,충청남도 부여군청,2024-07-22
공영자전거 궁남지 대여소,,충청남도 부여군 부여읍 동남리 152-1,15,N,N,041-830-2388,충청남도 부여군청 도시건축과,2024-07-22
공영자전거 정림사지 대여소,,충청남도 부여군 부여읍 동남리 412,15,N,N,041-830-2388,충청남도 부여군청 도시건축과,2024-07-22
공영자전거 부소산성 대여소,,충청남도 부여군 부여읍 관북리 114-2,15,N,N,041-830-2388,충청남도 부여군청 도시건축과,2024-07-22
세도보건지소,충청남도 부여군 세도면 세도중앙로 10,,7,N,N,041-830-2800,세도보건지소,2024-07-22
부여군 보건소,충청남도 부여군 부여읍 성왕로 205,,7,N,N,041-830-2469,충청남도 부여보건소,2024-07-22
